title,filename,source,kind,published,words,quarter,eligible,notes,review
The Deadline Came. The Mets Sold. The Scorecard Pays.,sunday-017.txt,published/sunday-017.html,issue,2026-08-02,2207,2026-Q3,yes,,
The Pitcher We Started With Is 'Struggling.' The Numbers That Matter Say He Isn't.,125-skenes-full-circle.txt,published/125-skenes-full-circle.html,issue,2026-08-03,1444,2026-Q3,yes,,
The Radar Gun Knows Before the ERA Does,126-which-numbers-predict.txt,published/126-which-numbers-predict.html,issue,2026-08-04,1198,2026-Q3,yes,,
Detroit Traded the Best Pitcher in Baseball While Two and a Half Games Out. It Cost Them One Percentage Point.,127-two-months-of-an-ace.txt,published/127-two-months-of-an-ace.html,issue,2026-08-05,1083,2026-Q3,yes,,
Indiana Just Won It All. Its Four-Year Average Still Says .500.,109-cfb-trajectories.txt,published/109-cfb-trajectories.html,issue,2026-08-06,1162,2026-Q3,yes,,
The Mets Had the Third-Best Bullpen in Baseball. Nobody in Baseball Had Fewer Leads to Protect.,128-the-bullpen-nobody-needed.txt,published/128-the-bullpen-nobody-needed.html,issue,2026-08-07,1254,2026-Q3,yes,,
Pulling the Goalie Makes Your Team Worse. That's Exactly Why You Do It.,113-pull-the-goalie.txt,published/113-pull-the-goalie.html,issue,2026-08-08,1557,2026-Q3,yes,,
"Two Weeks, Ten Issues, and a Scorecard : Grading Our Predictions Against Reality",sunday-018.txt,published/sunday-018.html,issue,2026-08-09,962,2026-Q3,yes,,
109 Teams Have Been Exactly Where Boston Was on July 3. One Made the Playoffs.,129-one-in-one-hundred-nine.txt,published/129-one-in-one-hundred-nine.html,issue,2026-08-10,1104,2026-Q3,yes,,
The Deepest Wound in Sports Is Always the Same Shape,116-deepest-wound-same-shape.txt,published/116-deepest-wound-same-shape.html,issue,2026-08-11,1384,2026-Q3,yes,,
The NCAA Is Expanding March Madness to 76. The Arithmetic Says Go to 365.,130-march-madness-invite-everyone.txt,published/130-march-madness-invite-everyone.html,issue,2026-08-12,1283,2026-Q3,yes,,
